track_id,track_name,artist,album_name,album_realise_date,popularity,genres
42GKyvz5KBsHTBaLpo3cqJ,Zombie,YUNGBLUD,Idols,2025-06-20,73,"['Alternative Rock', 'Pop Punk']"
5HCXMBxZIVaVLXpyoqPM3g,Leave the City,Twenty One Pilots,Trench,2018-10-05,58,"['Alternative Rock', 'Electropop']"
3bwK0L4oV5UYgNtWWlX2PR,En El Aire,Samuraï,El Silencio Del Ruido,2024-11-21,50,['Pop-Rock']
7DpUoxGSdlDHfqCYj0otzU,BITTERSUITE,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,75,"['Pop', 'Electropop']"
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,86,"['Pop', 'Electropop']"
04BSvYghzdxjSJNpee36er,Monster - Transformers Soundtrack Version,Paramore,Monster,2011-06-06,60,"['pop punk', 'emo']"
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,2022-09-16,88,"['Indie Pop', 'Alternative']"
321yySUTzRXUbzkRTeTzDB,Wasted Love,JJ,Wasted Love,2025-03-06,68,[]
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),Taylor Swift,folklore,2020-07-24,80,"['Pop', 'Country']"
0b11D9D0hMOYCIMN3OKreM,Into Your Arms (feat. Ava Max),Witt Lowry,Into Your Arms (feat. Ava Max),2018-06-08,71,"['Hip Hop', 'Rap']"
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,91,"['Pop', 'Electropop']"
0zbb5nsiQhozFP2yf7CKlw,Déjala Correr,Rocío Jurado,Palabra de Honor,1994-11-21,35,['flamenco']
4tCPPa2uxiViLbr1yvhms5,En Los Espejos,Samuraï,El Silencio Del Ruido,2024-11-21,48,['Pop-Rock']
3qrTll9OQ9wcejTxPFY0qg,The Line (from the series Arcane League of Legends),Twenty One Pilots,The Line (from the series Arcane League of Legends),2024-11-22,68,"['Alternative Rock', 'Electropop']"
2prqm9sPLj10B4Wg0wE5x9,BLUE,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,80,"['Pop', 'Electropop']"
1KJ39pId9Vp6W0zruepBpZ,Zombie - Recorded at Hansa Studios,YUNGBLUD,Zombie (Recorded at Hansa Studios),2025-08-06,59,"['Alternative Rock', 'Pop Punk']"
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,90,['Indie Pop']
4mQDKx1Ig7kRbFvtKfxoF9,Amén,Azucar Moreno,Amén,2000-04-06,35,['flamenco']
7pEDkfMT0pWnuienfKtqhE,I Wanna Be Yours x Summertime Sadness - 8D Audio,TommyMuzzic,I Wanna Be Yours x Summertime Sadness,2024-04-07,26,['nightcore']
1cOQB2p0YmnMrnPdSlhReN,La Despedida,Samuraï,El Silencio Del Ruido,2024-11-21,48,['Pop-Rock']
5H1sKFMzDeMtXwND3V6hRY,JUMP,BLACKPINK,JUMP,2025-07-11,93,['k-pop']
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Halsey,Manic,2020-01-17,81,"['Electropop', 'Alternative']"
34hM4PLlhyBysgL50IWdHf,Y Tú Te Vas,Chayanne,Chayanne,1998,72,['latin pop']
5HvDKyJlHWg42BdsE4ycSm,Paladin Strait,Twenty One Pilots,Clancy,2024-05-24,63,"['Alternative Rock', 'Electropop']"
5kILHrfMHQ4eFHZqnu4yY3,Striptease,FKA twigs,EUSEXUA,2025-01-24,55,"['art pop', 'alternative r&b']"
49fDs1J7JqHlUo6HbX2qJ5,You Are a Memory,Message To Bears,Maps,2013-11-12,59,['post-rock']
1VYlIU9IpVa4MHUqzKHyOb,2 Die 4,Tove Lo,Dirt Femme,2022-10-14,55,"['Electropop', 'Pop']"
6DzXaIgVIH7oLA1pkUtFaG,The Contract,Twenty One Pilots,The Contract,2025-06-12,74,"['Alternative Rock', 'Electropop']"
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,Indigo (Extended),2019-10-04,84,['r&b']
1wIE2nfv5oF3ld71AriEDP,Still Worth Fighting For,My Darkest Days,My Darkest Days (Deluxe Edition),2010-09-21,58,"['Rock', 'Post-Grunge']"
75psKd58yXGEHArBFpMLgm,Wieso jetzt?,JBS,Wieso jetzt?,2024-10-24,46,['german indie']
6T5aT7kzQJWzdXBacTn50I,Bad Habits (feat. Bring Me The Horizon),Ed Sheeran,= (Tour Edition),2022-05-27,34,['soft pop']
3HyDpKAuR3e4l6QB7hSB2l,The Light Behind Your Eyes,My Chemical Romance,Number Three,2012-12-18,59,"['emo', 'pop punk']"
6uS58ykUmaKr8YWIecDPP6,Eusexua - Anyma Remix,FKA twigs,Eusexua (Anyma Remix),2024-12-06,48,"['art pop', 'alternative r&b']"
6oWmcKVK6atTCoWVYTdSg1,Dreamin (feat. Daya),Dom Dolla,Dreamin (feat. Daya),2025-02-07,73,"['house', 'tech house']"
71GABxN1QMc3RbtKqhYvXb,Next Summer,Damiano David,FUNNY little FEARS,2025-05-16,70,['Pop']
2LD2gT7gwAurzdQDQtILds,Veridis Quo,Daft Punk,Discovery,2001-03-12,72,"['french house', 'electronic', 'electro']"
4fPAssoYOVIZCbx4e9bj5i,Welcome to My Truth,Anastacia,Pieces of A Dream,1999,28,"['Pop', 'Soul']"
4JWRos6zAz0GyBfCRoeC0C,Lost Highway,NightCrawl,Lost Highway,2025-06-13,61,"['Dance', 'Electrónica']"
0svd9Ojc1lK8tmp7bRwO7N,Hand That Feeds - From the Film Ballerina,Halsey,Hand That Feeds (From the Film Ballerina),2025-05-09,60,"['Electropop', 'Alternative']"
4IoYz8XqqdowINzfRrFnhi,You Found Me,The Fray,The Fray,2009-02-02,79,"['Alternative Rock', 'Pop Rock']"
23Vf9hNoBN8AacpUUHbiRy,War,Sum 41,13 Voices,2016-10-07,64,"['pop punk', 'punk', 'skate punk']"
0mROspyBziPHPyxTPFvKaH,God Is A Weapon,Falling In Reverse,God Is A Weapon,2025-05-20,78,"['emo', 'rap metal']"
6aCBjSb87RizdH8lVBIRW7,Good Things Go,Linkin Park,From Zero,2024-11-15,66,"['nu metal', 'rap metal', 'rock', 'alternative metal']"
4fhXWfuztdP0uqPINbF7bs,Euphoric Night,Onlynumbers,Euphoric Night,2024-01-26,57,"['hard techno', 'techno', 'tekno', 'hardcore techno']"
1XTY6rA7XQosc0ynkkE9kN,Black Friday,Tom Odell,Black Friday,2023-09-22,72,"['Pop', 'Alternative']"
3Q9ZMpX2Vz7TN4jHdkAgHe,Punto de partida,Rocío Jurado,Única,2009-05-12,31,['flamenco']
057YRaQ57p70MVg4hMIIkB,Камин (feat. JONY),EMIN,Камин (feat. JONY),2020-03-27,78,"['rap', 'hip hop']"
740I972rjadktN3ciBogDg,Bikini Rojo,Julieta,Bikini Rojo,2025-07-25,46,"['latin pop', 'latin rock']"
2mYlSgPvC5Np4mDg9DU5Mc,CARITA TRISTE,Ana Mena,CARITA TRISTE,2024-08-30,64,"['Pop', 'Latin Pop']"
